date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:59	256653/256653	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202024%2009:14:56%20GMT	https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/s/1952/undangan/975027.html	(from )
16:14:59	85/85	---M-Z	200	added ('OK')	text/plain	etag:%226d-60cfa61bb6aec-gzip%22	https://indoinvite.com/robots.txt		(from )
16:15:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2009%20Jan%202024%2009:14:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/julia/OneDrive/Desktop/Project%20Arip/www.googletagmanager.com/gtm.15445.delayed	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:00	15167/15167	---M-Z	200	added ('OK')	text/css	etag:W/%223b3f-8VRrGWD1p2saNC8Hgf9ObtItTic%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lightgallery.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lightgallery.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:00	2912/2912	---M-Z	200	added ('OK')	text/css	etag:W/%22b60-khYbvr/kbhalbE4vbYiKM8j4Z2E%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lg-zoom.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lg-zoom.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:00	2859/2859	---M-Z	200	added ('OK')	text/css	etag:W/%22b2b-3TBSFJ0wVPNe+4I8aN1454qtWHU%22	https://cdn.jsdelivr.net/npm/justifiedGallery@3.8.1/dist/css/justifiedGallery.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/justifiedGallery@3.8.1/dist/css/justifiedGallery.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:01	2109/2109	---M-Z	200	added ('OK')	text/css	etag:W/%2283d-/eu72c+/GSp1vnWRRTi9i+Epwfk%22	https://cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lg-thumbnail.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/cdn.jsdelivr.net/npm/lightgallery@2.0.0-beta.3/css/lg-thumbnail.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:01	73008/73008	---M-Z	200	added ('OK')	text/css	etag:%2211d30-60cfa618c5c34-gzip%22	https://indoinvite.com/nikah/css/animate.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/animate.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:01	25225/25225	---M-Z	200	added ('OK')	text/css	etag:%226289-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/icomoon.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/icomoon.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:02	134656/134656	---M-Z	200	added ('OK')	text/css	etag:%2220e00-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/bootstrap.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/bootstrap.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
